State,Fish Type,Average Consumption (tons),Preferred Size (cm),Price Range (INR per kg),Seasonal Availability
Gujarat,Striped Red Mullet,11.98,11.8,368.69 - 514.45,Year-round
Gujarat,Striped Red Mullet,14.52,32.65,251.14 - 342.09,Seasonal
Gujarat,Striped Red Mullet,11.76,32.68,304.27 - 420.76,Seasonal
Gujarat,Striped Red Mullet,12.12,21.48,235.95 - 383.37,Seasonal
Gujarat,Striped Red Mullet,19.89,37.81,361.99 - 496.19,Year-round
Gujarat,Striped Red Mullet,6.39,17.71,436.37 - 572.84,Year-round
Gujarat,Trout,17.39,33.46,412.62 - 466.24,Year-round
Gujarat,Trout,8.41,20.25,314.27 - 398.91,Year-round
Gujarat,Trout,13.31,19.17,319.09 - 413.81,Seasonal
Gujarat,Trout,18.1,14.85,435.88 - 543.34,Seasonal
Gujarat,Trout,17.77,16.26,479.18 - 540.82,Seasonal
Gujarat,Trout,14.42,30.23,359.74 - 481.89,Year-round
Gujarat,Shrimp,16.85,19.14,224.28 - 314.57,Seasonal
Gujarat,Shrimp,7.31,16.71,487.2 - 594.5,Seasonal
Gujarat,Shrimp,17.34,13.98,458.6 - 600.88,Seasonal
Gujarat,Shrimp,7.09,36.95,448.8 - 530.55,Year-round
Gujarat,Shrimp,10.98,14.39,310.26 - 367.08,Seasonal
Gujarat,Shrimp,12.59,16.98,223.99 - 351.66,Seasonal
Haryana,Gilt Head Bream,11.49,19.35,351.84 - 445.79,Seasonal
Haryana,Gilt Head Bream,17.77,10.01,205.31 - 315.56,Year-round
Haryana,Gilt Head Bream,7.28,11.84,434.23 - 530.21,Seasonal
Haryana,Gilt Head Bream,12.27,32.63,385.85 - 465.58,Year-round
Haryana,Gilt Head Bream,8.59,14.27,236.42 - 316.74,Year-round
Haryana,Gilt Head Bream,7.67,30.75,385.42 - 498.73,Seasonal
Haryana,Red Sea Bream,17.21,28.46,291.88 - 404.27,Seasonal
Haryana,Red Sea Bream,17.72,31.73,437.63 - 528.11,Seasonal
Haryana,Red Sea Bream,7.92,21.03,324.24 - 456.99,Year-round
Haryana,Red Sea Bream,10.81,38.91,274.57 - 337.95,Year-round
Haryana,Red Sea Bream,5.29,17.79,428.09 - 491.8,Year-round
Haryana,Red Sea Bream,14.28,19.71,450.29 - 563.22,Year-round
Haryana,Sea Bass,17.02,38.79,346.36 - 407.33,Seasonal
Haryana,Sea Bass,14.69,24.98,279.81 - 344.73,Seasonal
Haryana,Sea Bass,7.25,19.74,421.21 - 518.81,Year-round
Haryana,Sea Bass,14.21,35.79,317.72 - 463.34,Year-round
Haryana,Sea Bass,19.33,33.61,294.62 - 413.44,Seasonal
Haryana,Sea Bass,6.15,18.38,479.1 - 554.4,Seasonal
Haryana,Red Mullet,11.92,29.12,397.81 - 537.32,Seasonal
Haryana,Red Mullet,8.4,36.68,335.19 - 473.43,Year-round
Haryana,Red Mullet,16.06,25.37,404.07 - 458.24,Year-round
Haryana,Red Mullet,16.19,29.77,440.64 - 501.18,Year-round
Haryana,Red Mullet,19.35,32.13,305.98 - 385.63,Year-round
Haryana,Red Mullet,19.56,38.27,435.15 - 520.64,Seasonal
Haryana,Horse Mackerel,6.48,29.81,429.31 - 505.82,Seasonal
Haryana,Horse Mackerel,6.24,25.44,469.67 - 597.92,Seasonal
Haryana,Horse Mackerel,14.37,21.46,261.71 - 323.84,Seasonal
Haryana,Horse Mackerel,8.91,12.08,487.95 - 585.77,Year-round
Haryana,Horse Mackerel,19.53,33.96,287.85 - 435.84,Seasonal
Haryana,Horse Mackerel,12.29,37.61,356.23 - 467.88,Seasonal
Haryana,Black Sea Sprat,6.92,20.15,478.43 - 550.89,Year-round
Haryana,Black Sea Sprat,10.64,26.5,316.6 - 382.96,Seasonal
Haryana,Black Sea Sprat,8.61,13.65,259.24 - 397.93,Seasonal
Haryana,Black Sea Sprat,19.89,30.14,295.08 - 433.0,Seasonal
Haryana,Black Sea Sprat,18.78,17.57,426.51 - 522.57,Seasonal
Haryana,Black Sea Sprat,16.22,26.73,254.18 - 309.56,Seasonal
Haryana,Striped Red Mullet,13.18,39.54,481.22 - 535.53,Seasonal
Haryana,Striped Red Mullet,6.62,30.56,227.56 - 374.07,Year-round
Haryana,Striped Red Mullet,12.59,35.22,419.84 - 524.06,Year-round
Haryana,Striped Red Mullet,16.15,28.36,231.78 - 296.94,Seasonal
Haryana,Striped Red Mullet,18.1,29.09,428.34 - 494.34,Seasonal
Haryana,Striped Red Mullet,13.37,34.35,422.51 - 560.66,Seasonal
Haryana,Trout,6.49,22.04,440.02 - 510.42,Seasonal
Haryana,Trout,16.14,34.45,384.49 - 503.28,Seasonal
Haryana,Trout,16.76,26.63,201.57 - 327.67,Seasonal
Haryana,Trout,17.49,10.33,424.86 - 550.73,Seasonal
Haryana,Trout,9.9,14.47,291.68 - 429.35,Year-round
Haryana,Trout,6.87,21.56,393.01 - 521.05,Seasonal
Haryana,Shrimp,13.9,21.75,323.79 - 443.35,Year-round
Haryana,Shrimp,5.44,15.01,254.4 - 343.16,Year-round
Haryana,Shrimp,13.82,24.43,392.7 - 449.18,Seasonal
Haryana,Shrimp,8.38,31.09,215.84 - 314.5,Seasonal
Haryana,Shrimp,17.07,18.09,447.51 - 547.34,Seasonal
Haryana,Shrimp,7.23,30.86,423.78 - 571.97,Year-round
Himachal Pradesh,Gilt Head Bream,16.83,25.52,332.06 - 396.8,Year-round
Himachal Pradesh,Gilt Head Bream,16.03,17.08,311.43 - 367.68,Seasonal
Himachal Pradesh,Gilt Head Bream,16.03,39.95,479.93 - 594.19,Year-round
Himachal Pradesh,Gilt Head Bream,14.56,24.88,253.48 - 372.07,Year-round
Himachal Pradesh,Gilt Head Bream,17.6,21.51,371.56 - 480.34,Year-round
Himachal Pradesh,Gilt Head Bream,13.48,39.39,249.59 - 369.61,Seasonal
Himachal Pradesh,Red Sea Bream,17.48,18.19,355.42 - 435.3,Year-round
Himachal Pradesh,Red Sea Bream,5.84,35.58,267.66 - 355.35,Seasonal
Himachal Pradesh,Red Sea Bream,7.79,34.08,337.46 - 435.75,Seasonal
Himachal Pradesh,Red Sea Bream,14.47,11.5,471.17 - 612.11,Seasonal
Himachal Pradesh,Red Sea Bream,15.94,32.97,247.67 - 358.69,Seasonal
Himachal Pradesh,Red Sea Bream,10.98,37.68,341.62 - 392.96,Seasonal
Himachal Pradesh,Sea Bass,5.86,18.47,278.51 - 353.21,Seasonal
Himachal Pradesh,Sea Bass,16.81,39.25,311.36 - 404.25,Year-round
Himachal Pradesh,Sea Bass,16.65,11.96,346.27 - 399.63,Seasonal
Himachal Pradesh,Sea Bass,14.3,26.86,303.78 - 385.3,Year-round
Himachal Pradesh,Sea Bass,10.21,37.0,206.55 - 322.93,Seasonal
Himachal Pradesh,Sea Bass,6.92,36.46,318.03 - 450.82,Seasonal
Himachal Pradesh,Red Mullet,8.9,31.92,494.39 - 570.04,Year-round
Himachal Pradesh,Red Mullet,15.88,15.74,301.48 - 382.35,Year-round
Himachal Pradesh,Red Mullet,14.13,20.49,234.23 - 299.35,Seasonal
Himachal Pradesh,Red Mullet,11.27,12.67,405.13 - 509.64,Seasonal
Himachal Pradesh,Red Mullet,6.72,35.8,416.84 - 473.61,Seasonal
Himachal Pradesh,Red Mullet,13.23,28.39,267.84 - 402.54,Seasonal
Himachal Pradesh,Horse Mackerel,7.49,38.37,454.99 - 571.89,Seasonal
Himachal Pradesh,Horse Mackerel,17.93,23.8,424.79 - 503.84,Year-round
Himachal Pradesh,Horse Mackerel,12.69,34.19,337.77 - 392.97,Year-round
Himachal Pradesh,Horse Mackerel,12.46,20.19,461.64 - 566.13,Seasonal
Himachal Pradesh,Horse Mackerel,16.35,25.58,261.46 - 399.25,Seasonal
Himachal Pradesh,Horse Mackerel,7.42,17.66,483.99 - 590.01,Seasonal
Himachal Pradesh,Black Sea Sprat,16.58,10.82,219.56 - 315.95,Seasonal
Himachal Pradesh,Black Sea Sprat,9.24,21.72,439.5 - 526.7,Year-round
Himachal Pradesh,Black Sea Sprat,17.33,21.41,432.68 - 579.13,Seasonal
Himachal Pradesh,Black Sea Sprat,7.8,12.82,307.0 - 432.75,Year-round
Himachal Pradesh,Black Sea Sprat,14.52,33.94,318.79 - 460.3,Seasonal
Himachal Pradesh,Black Sea Sprat,12.8,23.43,367.35 - 433.95,Seasonal
Himachal Pradesh,Striped Red Mullet,17.86,37.18,283.07 - 431.42,Year-round
Himachal Pradesh,Striped Red Mullet,13.97,11.0,309.11 - 432.37,Seasonal
Himachal Pradesh,Striped Red Mullet,7.28,23.21,384.59 - 442.94,Seasonal
Himachal Pradesh,Striped Red Mullet,6.76,32.19,295.9 - 444.74,Year-round
Himachal Pradesh,Striped Red Mullet,19.76,30.04,390.4 - 457.0,Seasonal
Himachal Pradesh,Striped Red Mullet,19.7,29.68,238.95 - 357.63,Year-round
Himachal Pradesh,Trout,12.91,31.58,467.08 - 525.02,Year-round
Himachal Pradesh,Trout,19.6,20.11,288.95 - 430.77,Seasonal
Himachal Pradesh,Trout,15.65,19.43,341.35 - 473.51,Seasonal
Himachal Pradesh,Trout,9.71,17.63,445.78 - 583.76,Seasonal
Himachal Pradesh,Trout,7.61,31.36,447.79 - 507.86,Year-round
Himachal Pradesh,Trout,11.3,37.16,421.9 - 491.03,Year-round
Himachal Pradesh,Shrimp,14.77,28.63,305.71 - 439.86,Year-round
Himachal Pradesh,Shrimp,17.66,17.62,209.33 - 333.26,Seasonal
Himachal Pradesh,Shrimp,9.88,30.59,220.89 - 288.38,Year-round
Himachal Pradesh,Shrimp,14.83,39.75,221.8 - 279.51,Year-round
Himachal Pradesh,Shrimp,15.41,25.38,291.59 - 362.86,Year-round
Himachal Pradesh,Shrimp,16.45,22.25,427.77 - 568.14,Year-round
Jharkhand,Gilt Head Bream,16.49,33.65,399.5 - 475.52,Year-round
Jharkhand,Gilt Head Bream,18.11,10.01,250.72 - 339.7,Seasonal
Jharkhand,Gilt Head Bream,11.91,35.94,363.99 - 452.03,Seasonal
Jharkhand,Gilt Head Bream,17.04,24.37,205.4 - 297.54,Seasonal
Jharkhand,Gilt Head Bream,18.77,18.4,457.5 - 536.72,Year-round
Jharkhand,Gilt Head Bream,17.39,30.98,451.84 - 600.02,Seasonal
Jharkhand,Red Sea Bream,15.9,19.14,448.82 - 526.97,Year-round
Jharkhand,Red Sea Bream,11.75,16.55,236.07 - 292.91,Year-round
Jharkhand,Red Sea Bream,8.63,10.37,340.63 - 420.76,Year-round
Jharkhand,Red Sea Bream,6.11,16.79,419.07 - 528.95,Year-round
Jharkhand,Red Sea Bream,18.54,35.57,400.34 - 509.66,Year-round
Jharkhand,Red Sea Bream,19.84,28.79,359.39 - 493.21,Seasonal
Jharkhand,Sea Bass,5.52,27.48,498.63 - 634.2,Year-round
Jharkhand,Sea Bass,14.88,17.57,266.07 - 364.91,Year-round
Jharkhand,Sea Bass,6.41,37.29,400.76 - 533.69,Seasonal
Jharkhand,Sea Bass,19.34,10.75,408.34 - 466.56,Seasonal
Jharkhand,Sea Bass,11.52,33.22,380.58 - 519.83,Year-round
Jharkhand,Sea Bass,7.56,38.44,333.57 - 462.45,Year-round
Jharkhand,Red Mullet,8.56,25.37,231.27 - 319.72,Year-round
Jharkhand,Red Mullet,19.56,17.88,281.47 - 378.76,Year-round
Jharkhand,Red Mullet,12.59,29.02,221.28 - 296.72,Year-round
Jharkhand,Red Mullet,5.6,28.12,472.21 - 546.1,Seasonal
Jharkhand,Red Mullet,19.57,19.94,344.61 - 414.22,Year-round
Jharkhand,Red Mullet,11.71,24.23,377.26 - 480.96,Year-round
Jharkhand,Horse Mackerel,5.11,16.57,211.02 - 271.82,Seasonal
Jharkhand,Horse Mackerel,11.94,23.16,265.55 - 355.23,Seasonal
Jharkhand,Horse Mackerel,18.98,21.91,226.13 - 337.83,Seasonal
Jharkhand,Horse Mackerel,12.97,36.4,372.43 - 425.4,Seasonal
Jharkhand,Horse Mackerel,15.53,39.78,239.45 - 316.92,Year-round
Jharkhand,Horse Mackerel,10.85,31.9,464.68 - 581.77,Year-round
Jharkhand,Black Sea Sprat,14.12,19.28,447.14 - 592.64,Seasonal
Jharkhand,Black Sea Sprat,15.82,35.89,200.63 - 322.39,Year-round
Jharkhand,Black Sea Sprat,5.89,28.11,405.98 - 467.43,Seasonal
Jharkhand,Black Sea Sprat,17.01,29.88,227.69 - 337.32,Seasonal
Jharkhand,Black Sea Sprat,16.27,12.13,224.05 - 309.53,Year-round
Jharkhand,Black Sea Sprat,11.19,29.38,393.94 - 532.74,Year-round
Jharkhand,Striped Red Mullet,5.15,29.08,473.99 - 585.24,Seasonal
Jharkhand,Striped Red Mullet,7.58,29.14,422.29 - 525.29,Year-round
Jharkhand,Striped Red Mullet,13.01,14.26,203.51 - 295.72,Year-round
Jharkhand,Striped Red Mullet,11.73,12.53,319.81 - 460.82,Seasonal
Jharkhand,Striped Red Mullet,13.38,20.3,418.75 - 533.98,Seasonal
Jharkhand,Striped Red Mullet,10.81,35.56,321.17 - 378.93,Year-round
Jharkhand,Trout,9.59,33.67,333.93 - 463.76,Year-round
Jharkhand,Trout,11.75,27.38,427.81 - 487.69,Year-round
Jharkhand,Trout,13.73,21.14,380.32 - 500.88,Year-round
Jharkhand,Trout,12.89,25.35,249.69 - 364.26,Year-round
Jharkhand,Trout,18.35,20.38,246.34 - 298.88,Seasonal
Jharkhand,Trout,10.68,10.2,315.76 - 444.93,Year-round
Jharkhand,Shrimp,9.67,30.31,381.73 - 468.19,Seasonal
Jharkhand,Shrimp,13.7,26.79,231.58 - 298.31,Seasonal
Jharkhand,Shrimp,12.28,10.83,351.64 - 498.04,Seasonal
Jharkhand,Shrimp,6.49,16.27,477.69 - 569.11,Year-round
Jharkhand,Shrimp,5.35,32.69,337.56 - 416.48,Year-round
Jharkhand,Shrimp,17.53,21.11,312.44 - 409.84,Seasonal
Karnataka,Gilt Head Bream,14.04,34.8,495.2 - 574.04,Year-round
Karnataka,Gilt Head Bream,7.27,10.93,491.22 - 618.58,Year-round
Karnataka,Gilt Head Bream,7.31,26.61,362.51 - 488.7,Year-round
Karnataka,Gilt Head Bream,17.58,20.69,448.04 - 568.95,Seasonal
Karnataka,Gilt Head Bream,5.86,20.27,281.07 - 427.72,Year-round
Karnataka,Gilt Head Bream,13.17,14.96,374.9 - 524.87,Year-round
Karnataka,Red Sea Bream,14.39,24.67,320.53 - 469.92,Seasonal
Karnataka,Red Sea Bream,9.51,19.77,437.76 - 533.9,Year-round
Karnataka,Red Sea Bream,10.93,11.18,342.66 - 446.97,Year-round
Karnataka,Red Sea Bream,6.99,27.79,379.74 - 465.08,Year-round
Karnataka,Red Sea Bream,18.05,13.92,437.15 - 499.64,Year-round
Karnataka,Red Sea Bream,15.21,24.0,210.34 - 357.3,Year-round
Karnataka,Sea Bass,11.94,39.43,345.02 - 481.38,Year-round
Karnataka,Sea Bass,9.54,24.74,356.73 - 463.0,Year-round
Karnataka,Sea Bass,10.8,25.34,347.7 - 455.43,Year-round
Karnataka,Sea Bass,18.42,23.68,333.04 - 443.25,Year-round
Karnataka,Sea Bass,13.6,38.68,260.14 - 321.07,Seasonal
Karnataka,Sea Bass,5.05,29.21,289.53 - 363.57,Year-round
Karnataka,Red Mullet,18.25,23.45,353.13 - 465.79,Year-round
Karnataka,Red Mullet,16.01,32.88,478.78 - 531.83,Year-round
Karnataka,Red Mullet,15.39,14.03,289.82 - 375.69,Seasonal
Karnataka,Red Mullet,10.0,31.99,358.57 - 487.91,Year-round
Karnataka,Red Mullet,19.97,30.3,448.54 - 528.0,Year-round
Karnataka,Red Mullet,5.66,20.25,389.87 - 446.77,Year-round
Karnataka,Horse Mackerel,16.3,33.07,397.56 - 524.17,Seasonal
Karnataka,Horse Mackerel,15.5,13.13,319.73 - 442.05,Seasonal
Karnataka,Horse Mackerel,11.11,22.21,219.8 - 304.69,Year-round
Karnataka,Horse Mackerel,14.48,27.31,409.33 - 459.94,Year-round
Karnataka,Horse Mackerel,12.84,18.99,223.06 - 323.12,Seasonal
Karnataka,Horse Mackerel,8.63,24.35,243.56 - 364.57,Seasonal
Karnataka,Black Sea Sprat,9.43,16.97,284.3 - 414.65,Seasonal
Karnataka,Black Sea Sprat,7.28,17.99,206.61 - 314.93,Year-round
Karnataka,Black Sea Sprat,8.39,29.21,493.69 - 604.04,Year-round
Karnataka,Black Sea Sprat,11.24,32.79,256.35 - 378.33,Seasonal
Karnataka,Black Sea Sprat,11.74,27.58,387.44 - 444.61,Seasonal
Karnataka,Black Sea Sprat,12.89,23.9,270.4 - 350.72,Year-round
Karnataka,Striped Red Mullet,13.29,25.61,242.86 - 370.4,Seasonal
Karnataka,Striped Red Mullet,11.02,14.76,464.6 - 596.98,Year-round
Karnataka,Striped Red Mullet,5.81,32.46,295.28 - 345.29,Seasonal
Karnataka,Striped Red Mullet,16.75,31.45,378.05 - 517.62,Seasonal
Karnataka,Striped Red Mullet,17.59,10.11,274.05 - 398.14,Year-round
Karnataka,Striped Red Mullet,18.96,34.8,238.98 - 345.48,Seasonal
Karnataka,Trout,9.7,33.67,467.56 - 560.94,Year-round
Karnataka,Trout,10.66,38.09,402.54 - 464.14,Year-round
Karnataka,Trout,12.41,21.63,389.81 - 510.2,Seasonal
Karnataka,Trout,7.09,17.63,462.65 - 530.93,Seasonal
Karnataka,Trout,16.42,38.52,410.76 - 490.57,Year-round
Karnataka,Trout,12.13,29.03,499.84 - 560.32,Seasonal
Karnataka,Shrimp,19.35,25.01,329.82 - 425.59,Seasonal
Karnataka,Shrimp,14.52,33.12,200.86 - 336.76,Year-round
Karnataka,Shrimp,11.25,34.67,455.1 - 526.3,Year-round
Karnataka,Shrimp,18.05,31.91,394.31 - 523.94,Year-round
Karnataka,Shrimp,14.12,18.86,240.98 - 356.14,Seasonal
Karnataka,Shrimp,16.06,39.24,215.66 - 333.88,Seasonal
Kerala,Gilt Head Bream,7.99,36.71,286.22 - 373.0,Year-round
Kerala,Gilt Head Bream,17.35,33.46,363.14 - 423.13,Seasonal
Kerala,Gilt Head Bream,5.22,21.37,301.2 - 353.14,Seasonal
Kerala,Gilt Head Bream,19.23,10.94,420.86 - 503.88,Seasonal
Kerala,Gilt Head Bream,13.93,10.3,339.23 - 485.58,Seasonal
Kerala,Gilt Head Bream,10.96,32.87,336.48 - 413.2,Year-round
Kerala,Red Sea Bream,12.82,39.28,237.67 - 289.36,Year-round
Kerala,Red Sea Bream,10.74,21.03,254.52 - 348.07,Seasonal
Kerala,Red Sea Bream,9.4,33.19,355.39 - 440.2,Seasonal
Kerala,Red Sea Bream,13.56,27.04,398.9 - 503.74,Seasonal
Kerala,Red Sea Bream,17.71,10.71,469.57 - 597.89,Year-round
Kerala,Red Sea Bream,9.37,16.21,245.7 - 385.64,Year-round
Kerala,Sea Bass,8.42,17.4,345.22 - 469.97,Year-round
Kerala,Sea Bass,15.07,27.47,497.06 - 570.98,Seasonal
Kerala,Sea Bass,19.87,26.33,488.83 - 546.39,Year-round
Kerala,Sea Bass,8.07,31.77,385.92 - 525.53,Year-round
Kerala,Sea Bass,16.72,27.35,244.09 - 375.2,Seasonal
Kerala,Sea Bass,18.6,14.92,392.85 - 523.83,Year-round
Kerala,Red Mullet,18.76,18.72,341.0 - 480.01,Year-round
Kerala,Red Mullet,15.35,30.7,479.18 - 578.91,Year-round
Kerala,Red Mullet,11.72,14.03,487.38 - 590.35,Year-round
Kerala,Red Mullet,10.31,38.47,488.69 - 600.78,Seasonal
Kerala,Red Mullet,17.1,23.79,363.97 - 457.25,Seasonal
Kerala,Red Mullet,13.41,35.92,344.4 - 484.17,Seasonal
Kerala,Horse Mackerel,17.65,39.44,437.94 - 573.32,Seasonal
Kerala,Horse Mackerel,14.89,13.27,390.96 - 490.79,Seasonal
Kerala,Horse Mackerel,15.68,39.43,370.86 - 446.82,Year-round
Kerala,Horse Mackerel,18.79,15.28,264.19 - 315.49,Seasonal
Kerala,Horse Mackerel,7.85,33.78,472.37 - 616.74,Year-round
Kerala,Horse Mackerel,10.93,38.59,490.12 - 579.4,Seasonal
Kerala,Black Sea Sprat,12.15,31.55,274.2 - 388.26,Year-round
Kerala,Black Sea Sprat,16.72,38.81,429.07 - 564.59,Seasonal
Kerala,Black Sea Sprat,5.18,10.27,307.11 - 449.73,Seasonal
Kerala,Black Sea Sprat,17.07,11.38,442.42 - 510.21,Year-round
Kerala,Black Sea Sprat,15.93,12.86,328.61 - 381.53,Year-round
Kerala,Black Sea Sprat,18.42,10.01,470.41 - 535.8,Year-round
Kerala,Striped Red Mullet,18.79,39.8,213.47 - 339.57,Year-round
Kerala,Striped Red Mullet,14.53,12.72,209.79 - 265.56,Year-round
Kerala,Striped Red Mullet,13.66,20.71,436.26 - 511.36,Seasonal
Kerala,Striped Red Mullet,13.61,22.47,454.18 - 594.41,Seasonal
Kerala,Striped Red Mullet,18.77,13.05,351.79 - 423.87,Year-round
Kerala,Striped Red Mullet,8.43,38.69,244.45 - 362.41,Year-round
Kerala,Trout,19.26,27.45,330.98 - 438.99,Year-round
Kerala,Trout,9.9,35.19,243.14 - 336.15,Year-round
Kerala,Trout,19.2,36.78,325.83 - 453.87,Seasonal
Kerala,Trout,18.33,26.34,261.34 - 336.87,Seasonal
Kerala,Trout,9.97,35.65,262.12 - 319.24,Seasonal
Kerala,Trout,9.43,36.38,338.0 - 397.51,Year-round
Kerala,Shrimp,17.54,19.97,408.09 - 535.2,Seasonal
Kerala,Shrimp,17.37,25.47,338.99 - 393.53,Seasonal
Kerala,Shrimp,11.38,11.13,238.36 - 364.91,Year-round
Kerala,Shrimp,13.86,11.84,308.65 - 430.97,Seasonal
Kerala,Shrimp,8.39,19.13,291.18 - 364.22,Year-round
Kerala,Shrimp,5.78,15.73,293.03 - 416.2,Seasonal
Madhya Pradesh,Gilt Head Bream,16.13,35.45,326.79 - 407.08,Seasonal
Madhya Pradesh,Gilt Head Bream,17.27,17.58,281.43 - 343.97,Seasonal
Madhya Pradesh,Gilt Head Bream,18.53,34.2,495.46 - 620.88,Year-round
Madhya Pradesh,Gilt Head Bream,13.14,14.49,314.21 - 405.65,Seasonal
Madhya Pradesh,Gilt Head Bream,15.64,15.02,434.19 - 542.57,Year-round
Madhya Pradesh,Gilt Head Bream,14.43,24.46,308.51 - 453.43,Year-round
Madhya Pradesh,Red Sea Bream,15.72,32.77,230.75 - 332.14,Year-round
Madhya Pradesh,Red Sea Bream,7.58,39.17,334.64 - 400.55,Year-round
Madhya Pradesh,Red Sea Bream,15.71,23.85,476.3 - 595.76,Year-round
Madhya Pradesh,Red Sea Bream,17.76,20.34,209.26 - 264.45,Year-round
Madhya Pradesh,Red Sea Bream,10.18,20.07,493.56 - 629.21,Year-round
Madhya Pradesh,Red Sea Bream,16.47,30.13,330.6 - 435.53,Year-round
Madhya Pradesh,Sea Bass,10.71,14.89,435.86 - 559.31,Seasonal
Madhya Pradesh,Sea Bass,5.24,33.47,237.31 - 367.07,Year-round
Madhya Pradesh,Sea Bass,19.55,23.13,270.49 - 390.98,Year-round
Madhya Pradesh,Sea Bass,15.59,26.03,362.22 - 455.18,Year-round
Madhya Pradesh,Sea Bass,15.78,35.88,253.78 - 383.78,Year-round
Madhya Pradesh,Sea Bass,19.29,16.8,463.8 - 594.68,Year-round
Madhya Pradesh,Red Mullet,9.65,18.7,461.42 - 578.69,Year-round
Madhya Pradesh,Red Mullet,6.06,19.39,480.59 - 615.66,Year-round
Madhya Pradesh,Red Mullet,18.59,10.36,402.21 - 457.39,Year-round
Madhya Pradesh,Red Mullet,5.3,21.72,257.43 - 348.59,Seasonal
Madhya Pradesh,Red Mullet,10.01,31.98,321.36 - 378.19,Year-round
Madhya Pradesh,Red Mullet,10.34,12.52,300.04 - 417.79,Year-round
Madhya Pradesh,Horse Mackerel,5.85,21.22,483.33 - 597.51,Seasonal
Madhya Pradesh,Horse Mackerel,16.0,13.49,434.3 - 562.83,Year-round
Madhya Pradesh,Horse Mackerel,6.52,18.34,282.9 - 376.1,Year-round
Madhya Pradesh,Horse Mackerel,5.17,23.5,493.13 - 553.44,Seasonal
Madhya Pradesh,Horse Mackerel,6.7,22.11,421.37 - 541.82,Year-round
Madhya Pradesh,Horse Mackerel,8.07,25.59,222.21 - 332.76,Seasonal
Madhya Pradesh,Black Sea Sprat,12.25,18.06,286.24 - 401.91,Seasonal
Madhya Pradesh,Black Sea Sprat,7.16,27.86,251.63 - 394.19,Seasonal
Madhya Pradesh,Black Sea Sprat,9.46,12.76,379.71 - 492.08,Year-round
Madhya Pradesh,Black Sea Sprat,13.3,29.25,411.14 - 498.46,Year-round
Madhya Pradesh,Black Sea Sprat,15.14,31.2,383.0 - 464.29,Seasonal
Madhya Pradesh,Black Sea Sprat,8.74,10.06,252.22 - 313.93,Year-round
Madhya Pradesh,Striped Red Mullet,7.32,38.34,420.96 - 559.26,Year-round
Madhya Pradesh,Striped Red Mullet,16.58,28.76,312.07 - 367.12,Year-round
Madhya Pradesh,Striped Red Mullet,5.23,27.49,275.93 - 370.96,Year-round
Madhya Pradesh,Striped Red Mullet,8.31,31.77,385.17 - 509.12,Seasonal
Madhya Pradesh,Striped Red Mullet,19.66,13.06,202.5 - 295.85,Year-round
Madhya Pradesh,Striped Red Mullet,18.35,12.53,442.16 - 578.29,Seasonal
Madhya Pradesh,Trout,11.52,31.7,202.72 - 311.66,Year-round
Madhya Pradesh,Trout,13.2,30.12,410.26 - 480.66,Year-round
Madhya Pradesh,Trout,7.99,36.32,421.62 - 472.99,Year-round
Madhya Pradesh,Trout,10.34,10.47,223.14 - 364.26,Year-round
Madhya Pradesh,Trout,11.88,31.98,382.02 - 499.31,Seasonal
Madhya Pradesh,Trout,10.58,19.99,465.49 - 553.82,Seasonal
Madhya Pradesh,Shrimp,18.99,26.33,260.08 - 371.76,Year-round
Madhya Pradesh,Shrimp,8.8,39.63,287.45 - 414.52,Year-round
Madhya Pradesh,Shrimp,18.81,27.53,361.5 - 438.38,Seasonal
Madhya Pradesh,Shrimp,18.73,35.79,210.5 - 339.24,Seasonal
Madhya Pradesh,Shrimp,14.45,17.45,411.64 - 504.4,Seasonal
Madhya Pradesh,Shrimp,13.03,14.33,435.2 - 527.14,Year-round
Maharashtra,Gilt Head Bream,9.39,23.32,206.57 - 286.68,Seasonal
Maharashtra,Gilt Head Bream,11.11,24.09,208.49 - 279.5,Year-round
Maharashtra,Gilt Head Bream,16.47,22.29,396.55 - 472.58,Seasonal
Maharashtra,Gilt Head Bream,6.68,25.49,435.96 - 580.21,Seasonal
Maharashtra,Gilt Head Bream,18.23,34.42,405.54 - 466.58,Year-round
Maharashtra,Gilt Head Bream,5.12,37.74,332.99 - 438.33,Year-round
Maharashtra,Red Sea Bream,10.35,20.61,448.57 - 577.5,Year-round
Maharashtra,Red Sea Bream,8.24,34.28,435.91 - 549.13,Year-round
Maharashtra,Red Sea Bream,12.58,38.23,462.9 - 523.15,Year-round
Maharashtra,Red Sea Bream,6.16,34.87,304.67 - 406.83,Year-round
Maharashtra,Red Sea Bream,15.15,35.14,457.63 - 582.46,Year-round
Maharashtra,Red Sea Bream,5.2,18.88,337.76 - 428.87,Seasonal
Maharashtra,Sea Bass,15.41,16.89,235.27 - 301.79,Seasonal
Maharashtra,Sea Bass,17.94,25.96,436.83 - 516.51,Seasonal
Maharashtra,Sea Bass,6.25,10.57,249.72 - 388.81,Seasonal
Maharashtra,Sea Bass,6.82,29.04,374.64 - 436.48,Seasonal
Maharashtra,Sea Bass,14.12,17.36,217.32 - 306.42,Year-round
Maharashtra,Sea Bass,10.04,32.48,371.57 - 520.2,Year-round
Maharashtra,Red Mullet,11.24,22.87,362.27 - 481.91,Year-round
Maharashtra,Red Mullet,16.3,16.11,298.27 - 402.93,Year-round
